,0
20,0.005003213882446289
40,0.014027118682861328
60,0.028986454010009766
80,0.05199718475341797
100,0.08002090454101562
120,0.11400938034057617
140,0.15599775314331055
160,0.20009326934814453
180,0.26015615463256836
200,0.31746506690979004
220,0.3825986385345459
240,0.44988489151000977
260,0.5259189605712891
280,0.6175951957702637
300,0.7290744781494141
320,0.8067224025726318
340,0.898606538772583
360,1.0269575119018555
380,1.1211605072021484
400,1.242448091506958
420,1.3663012981414795
440,1.4993770122528076
460,1.6424481868743896
480,1.7835721969604492
500,1.9429500102996826
600,2.794259786605835
700,3.791396141052246
800,4.968199729919434
900,6.319904804229736
1000,7.786218881607056
1250,12.237593412399292
1500,17.532707452774048
1750,23.669321537017822
2000,31.370970964431763
2250,39.66351103782654
2500,48.99301552772522
2750,59.26335787773132
3000,70.17709827423096
3500,95.30868148803711
4000,124.57998013496399
4500,157.58038926124573
5000,195.21145105361938
