,0,1,2,3,4,5,6,7,8,9
1000,0.007424355,0.006062984,0.004627228,0.003324032,0.01420164,0.01473856,0.01136684,0.0104847,0.00893259,0.007497787
1020,0.006217957,0.004927635,0.003508091,0.01460743,0.01325321,0.01175547,0.01053047,0.009074688,0.007813454,0.006427288
1040,0.005057812,0.003658295,0.01516533,0.01384592,0.01222038,0.01084328,0.009922981,0.00813818,0.006697655,0.005290985
1060,0.003792763,0.01605654,0.01415777,0.01350355,0.01115084,0.009992599,0.008407116,0.007143021,0.005292892,0.003940582
1080,0.01637983,0.01501465,0.01357889,0.01175213,0.01023674,0.008545876,0.007034302,0.005638123,0.003754616,0.01623631
1100,0.01658726,0.01360893,0.01201248,0.01056671,0.008914948,0.008168221,0.006095886,0.003949165,0.01693535,0.01517105
1120,0.01433468,0.01243973,0.01086807,0.01016235,0.007751465,0.005897522,0.004137993,0.01748371,0.01578999,0.01411152
1140,0.01290131,0.01120186,0.009773254,0.007781029,0.006069183,0.004311562,0.01812172,0.01670551,0.01497555,0.01293182
1160,0.01186275,0.009758949,0.007968903,0.006907463,0.004473686,0.01907063,0.01698112,0.01499939,0.01327229,0.01157093
1180,0.01008987,0.008447647,0.0066185,0.004437447,0.01934624,0.01749325,0.01577473,0.01386929,0.01239681,0.01003361
1200,0.008612633,0.006541252,0.004674911,0.0202322,0.01821041,0.01621628,0.0142765,0.01247311,0.01040363,0.0086689
1220,0.006720543,0.005094528,0.02160358,0.01877975,0.01663399,0.01460457,0.01268673,0.0107317,0.008909225,0.006988525
1240,0.005098343,0.02202129,0.01906872,0.01711941,0.0151825,0.01314259,0.01102924,0.00918293,0.007130623,0.005319595
1260,0.02221584,0.02014732,0.01791,0.01571274,0.0135994,0.01178074,0.009597778,0.007254601,0.004958153,0.0223341
1280,0.02072144,0.01854801,0.01599312,0.01393509,0.01179028,0.009737015,0.007478714,0.005127907,0.02469635,0.02065754
1300,0.01880455,0.01651001,0.01439381,0.01252365,0.01012516,0.007962227,0.005787849,0.02511883,0.021245,0.0187664
1320,0.01702499,0.01484013,0.0125742,0.01041603,0.007964134,0.00571537,0.02434444,0.02186584,0.01952076,0.01719379
1340,0.01609707,0.01290798,0.01053524,0.008177757,0.00620079,0.026577,0.02282429,0.02001858,0.01765537,0.01530361
1360,0.01474285,0.01072407,0.008310318,0.005884171,0.0258503,0.02291775,0.02168179,0.01817322,0.01564026,0.01320648
1380,0.01110172,0.008554459,0.006567955,0.02771187,0.02415562,0.02113247,0.01867294,0.01608658,0.01462936,0.01117897
1400,0.008706093,0.006193161,0.02723217,0.02459812,0.02162743,0.01917839,0.01768875,0.01391029,0.01165199,0.008673668
1420,0.006381035,0.02793598,0.02599049,0.02405739,0.01965618,0.01686192,0.0141573,0.01190758,0.00892067,0.006556511
1440,0.02880573,0.02610016,0.02299309,0.02013206,0.01739502,0.01460171,0.0120306,0.009135246,0.006432533,0.03007221
1460,0.02627659,0.02361202,0.02204609,0.01877117,0.01499367,0.01221943,0.01053524,0.006603241,0.0314188,0.02656174
1480,0.02424812,0.02185917,0.01993561,0.01532555,0.0125761,0.009627342,0.006798744,0.03047466,0.02795315,0.02503967
1500,0.02169418,0.01964951,0.01586151,0.012887,0.009945869,0.007648468,0.03181076,0.02896118,0.02526855,0.0217638
1520,0.01947403,0.01612186,0.01315403,0.01015186,0.007279396,0.03251648,0.02965164,0.02553844,0.02261257,0.01958275
1540,0.01668262,0.01374626,0.01024628,0.007432938,0.03310776,0.02945995,0.02629375,0.02309322,0.02130222,0.01779556
1560,0.01383877,0.01050282,0.00752449,0.03510189,0.03039742,0.02870846,0.02340317,0.02027512,0.01736832,0.0138092
